Name,Salary,Team,Position,Opponent,Ceiling,Floor,Projection
Eli Manning,"$6,100",NYG,QB,TBB,21.931,11.809,16.87
Carson Wentz,"$6,600",PHI,QB,LAC,21.9492,12.8908,17.42
Philip Rivers,"$5,800",LAC,QB,PHI,22.5522,11.1078,16.83
Jameis Winston,"$6,000",TBB,QB,NYG,23.3026,11.4774,17.39
Josh McCown,"$4,500",NYJ,QB,JAC,18.375,6.625,12.5
Andy Dalton,"$6,000",CIN,QB,CLE,22.9159,11.5441,17.23
Blake Bortles,"$4,800",JAC,QB,NYJ,23.985,7.995,15.99
Brian Hoyer,"$4,700",SFO,QB,ARI,17.864,6.776,12.32
Carson Palmer,"$5,900",ARI,QB,SFO,23.5035,11.3165,17.41
Alex Smith,"$6,300",KCC,QB,WAS,24.112,11.088,17.6
Kirk Cousins,"$6,500",WAS,QB,KCC,23.6736,10.8864,17.28
Russell Wilson,"$7,100",SEA,QB,IND,27.6055,12.6945,20.15
Jacoby Brissett,"$5,600",IND,QB,SEA,19.2168,9.0432,14.13
Trevor Siemian,"$5,200",DEN,QB,OAK,25.1403,10.5197,17.83
Derek Carr,"$6,200",OAK,QB,DEN,23.7655,8.1345,15.95
DeShone Kizer,"$5,500",CLE,QB,CIN,22.9248,8.9152,15.92
Dak Prescott,"$6,800",DAL,QB,LAR,26.5744,12.5056,19.54
Ben Roethlisberger,"$6,400",PIT,QB,BAL,26.1985,8.5015,17.35
Cam Newton,"$6,500",CAR,QB,NEP,24.5072,11.5328,18.02
Joe Flacco,"$4,700",BAL,QB,PIT,20.2584,9.1016,14.68
Jay Cutler,"$5,200",MIA,QB,NOS,24.78,10.62,17.7
Aaron Rodgers,"$8,100",GBP,QB,CHI,29.5405,15.5595,22.55
Drew Brees,"$7,200",NOS,QB,MIA,27.6612,9.7188,18.69
Tom Brady,"$8,000",NEP,QB,CAR,27.4,12.6,20
Deshaun Watson,"$5,100",HOU,QB,TEN,21.462,9.198,15.33
Matt Ryan,"$7,400",ATL,QB,BUF,25.6208,12.6192,19.12
Jared Goff,"$5,300",LAR,QB,DAL,20.0448,7.7952,13.92
Tyrod Taylor,"$5,000",BUF,QB,ATL,23.6599,10.8801,17.27
Matthew Stafford,"$6,300",DET,QB,MIN,24.7455,11.9145,18.33
Marcus Mariota,"$6,400",TEN,QB,HOU,26.3646,8.5554,17.46
Case Keenum,"$5,000",MIN,QB,DET,21.7413,7.8387,14.79
Mike Glennon,"$4,500",CHI,QB,GBP,18.984,8.136,13.56
Shane Vereen,"$3,400",NYG,RB,TBB,13.9564,3.0636,8.51
Paul Perkins,"$3,300",NYG,RB,TBB,9.5542,4.7058,7.13
Peyton Barber,"$3,000",TBB,RB,NYG,0.901,0.159,0.53
Charles Sims,"$3,900",TBB,RB,NYG,16.3128,3.1072,9.71
Wayne Gallman,"$3,900",NYG,RB,TBB,,,6.09
Wendell Smallwood,"$4,600",PHI,RB,LAC,15.5664,6.5136,11.04
Branden Oliver,"$4,100",LAC,RB,PHI,6.255,2.085,4.17
Melvin Gordon,"$6,000",LAC,RB,PHI,30.576,7.644,19.11
LeGarrette Blount,"$4,200",PHI,RB,LAC,16.0522,3.2878,9.67
Jacquizz Rodgers,"$4,500",TBB,RB,NYG,18.3768,5.8032,12.09
Travaris Cadet,"$3,000",NYJ,RB,JAC,6.006,1.274,3.64
